,GP550R
RamanShit,Intensity,
1324.18,22547.91,
1326.67,22270.95,
1329.15,21739.88,
1331.64,21038.61,
1334.12,20040.94,
1336.60,18684.51,
1339.08,17039.44,
1341.56,15160.75,
1344.04,13059.21,
1346.52,10850.41,
1348.99,8763.88,
1351.46,6971.22,
1353.94,5459.66,
1356.41,4193.31,
1358.88,3181.60,
1361.35,2408.74,
1363.81,1805.10,
1366.28,1339.89,
1368.74,1024.68,
1371.20,831.78,
1373.67,684.77,
1376.12,570.26,
1378.58,499.13,
1381.04,470.87,
1383.50,447.52,
1385.95,408.32,
1388.40,354.69,
1390.85,300.60,
1393.30,255.80,
1395.75,235.22,
1398.20,240.00,
1400.65,259.29,
1403.09,255.36,
1405.53,238.43,
1407.98,232.69,
1410.42,241.70,
1412.86,232.51,
1415.29,197.93,
1417.73,166.70,
1420.17,164.86,
1422.60,189.44,
1425.03,213.74,
1427.46,201.97,
1429.89,158.42,
1432.32,118.62,
1434.75,125.56,
1437.17,159.70,
1439.59,173.26,
1442.02,154.09,
1444.44,138.21,
1446.86,149.52,
1449.28,154.74,
1451.70,144.58,
1454.11,143.24,
1456.53,150.17,
1458.94,136.35,
1461.35,100.52,
1463.76,85.84,
1466.17,100.65,
1468.58,110.66,
1470.99,110.76,
1473.39,119.88,
1475.79,145.78,
1478.20,157.60,
1480.60,144.29,
1483.00,124.06,
1485.40,111.83,
1487.79,104.54,
1490.19,100.02,
1492.58,115.27,
1494.97,142.24,
1497.37,151.06,
1499.76,140.53,
1502.15,141.33,
1504.53,159.60,
1506.92,162.87,
1509.31,137.42,
1511.69,121.42,
1514.07,117.45,
1516.45,106.78,
1518.83,88.47,
1521.21,82.80,
1523.59,87.00,
1525.96,93.10,
1528.34,107.13,
1530.71,131.88,
1533.08,127.33,
1535.45,95.95,
1537.82,76.56,
1540.19,81.13,
1542.55,90.52,
1544.92,92.19,
1547.28,95.17,
1549.65,105.54,
1552.01,108.43,
1554.37,109.73,
1556.73,113.81,
1559.08,111.89,
1561.44,112.52,
1563.79,126.24,
1566.15,148.09,
1568.50,155.20,
1570.85,134.97,
1573.20,116.45,
1575.54,128.67,
1577.89,162.26,
1580.24,184.51,
1582.58,171.34,
1584.92,139.26,
1587.26,127.96,
1589.60,138.71,
1591.94,144.75,
1594.28,132.95,
1596.62,112.08,
1598.95,93.79,
1601.29,83.92,
1603.62,92.17,
1605.95,125.94,
1608.28,159.63,
1610.61,162.13,
1612.93,129.61,
1615.26,88.18,
1617.58,75.52,
1619.91,103.88,
1622.23,136.21,
1624.55,142.68,
1626.87,124.01,
1629.18,99.69,
1631.50,80.63,
1633.82,72.19,
1636.13,84.97,
1638.44,107.28,
1640.75,121.99,
1643.07,130.04,
1645.37,130.79,
1647.68,127.56,
1649.99,126.51,
1652.29,118.43,
1654.60,100.03,
1656.90,90.54,
1659.20,109.84,
1661.50,122.38,
1663.80,115.39,
1666.09,124.06,
1668.39,164.85,
1670.69,193.80,
1672.98,183.52,
1675.27,143.81,
1677.56,98.56,
1679.85,68.72,
1682.14,79.16,
1684.43,111.89,
1686.71,114.09,
1689.00,76.18,
1691.28,49.35,
1693.56,72.42,
1695.84,121.13,
1698.12,148.09,
1700.40,150.13,
1702.68,149.38,
1704.95,135.01,
1707.23,111.61,
1709.50,101.05,
1711.77,115.13,
1714.04,124.75,
1716.31,121.89,
1718.58,133.03,
1720.85,152.91,
1723.11,144.81,
1725.38,123.03,
1727.64,114.76,
1729.90,117.85,
1732.16,110.60,
1734.42,110.80,
1736.68,138.68,
1738.94,153.92,
1741.19,113.29,
1743.45,59.61,
1745.70,65.02,
1747.95,117.80,
1750.20,145.08,
1752.45,129.03,
1754.70,122.10,
1756.95,132.71,
1759.19,127.42,
1761.43,108.81,
1763.68,101.30,
1765.92,97.49,
1768.16,97.35,
1770.40,105.15,
1772.64,119.24,
1774.88,117.42,
1777.11,107.75,
1779.34,114.24,
1781.58,128.46,
1783.81,137.46,
1786.04,140.35,
1788.27,118.91,
1790.50,90.62,
1792.72,78.57,
1794.95,88.25,
1797.17,100.56,
1799.40,102.99,
1801.62,120.58,
1803.84,130.70,
1806.06,110.76,
1808.28,89.53,
1810.50,95.64,
1812.71,128.30,
1814.92,152.91,
1817.14,152.88,
1819.35,138.60,
1821.56,112.81,
1823.77,99.78,
1825.98,91.80,
1828.19,77.50,
1830.39,68.17,
1832.60,79.38,
1834.80,100.91,
1837.00,104.01,
1839.20,87.88,
1841.40,83.96,
1843.60,97.16,
1845.80,98.58,
1848.00,66.93,
1850.19,35.55,
1852.38,50.75,
1854.58,101.86,
1856.77,120.33,
1858.96,94.28,
1861.15,71.37,
1863.33,80.17,
1865.52,100.89,
1867.71,103.37,
1869.89,103.24,
1872.07,109.78,
1874.26,94.21,
1876.44,69.10,
1878.62,54.09,
1880.79,55.50,
1882.97,48.81,
1885.15,30.74,
1887.32,42.19,
1889.49,77.38,
1891.67,109.94,
1893.84,130.19,
1896.01,121.16,
1898.17,87.05,
1900.34,51.72,
1902.51,60.94,
1904.67,104.23,
1906.84,121.89,
1909.00,111.01,
1911.16,108.39,
1913.32,109.73,
1915.48,93.28,
1917.64,83.94,
1919.79,107.48,
1921.95,120.42,
1924.10,93.22,
1926.26,64.44,
1928.41,64.89,
1930.56,67.55,
1932.71,61.66,
1934.86,55.91,
1937.00,52.01,
1939.15,53.27,
1941.29,65.28,
1943.44,81.21,
1945.58,89.96,
1947.72,91.00,
1949.86,87.02,
1952.00,78.60,
1954.14,84.58,
1956.27,104.39,
1958.41,114.00,
1960.54,109.33,
1962.68,96.35,
1964.81,84.16,
1966.94,85.81,
1969.07,105.96,
1971.20,106.32,
1973.32,70.76,
1975.45,50.12,
1977.57,87.99,
1979.70,138.54,
1981.82,145.13,
1983.94,111.79,
1986.06,78.44,
1988.18,54.60,
1990.30,59.12,
1992.41,91.56,
1994.53,117.70,
1996.64,114.75,
1998.76,114.42,
2000.87,139.55,
2002.98,152.09,
2005.09,124.83,
2007.20,101.70,
2009.31,115.71,
2011.41,135.19,
2013.52,120.10,
2015.62,95.21,
2017.72,112.12,
2019.82,166.36,
2021.92,204.42,
2024.02,194.82,
2026.12,176.10,
2028.22,179.03,
2030.31,187.24,
2032.41,165.34,
2034.50,120.35,
2036.59,79.76,
2038.69,64.44,
2040.77,86.61,
2042.86,133.26,
2044.95,159.22,
2047.04,138.73,
2049.12,99.42,
2051.21,111.72,
2053.29,162.56,
2055.37,188.60,
2057.45,156.17,
2059.53,102.94,
2061.61,80.54,
2063.69,75.80,
2065.77,58.14,
2067.84,53.19,
2069.92,61.98,
2071.99,69.73,
2074.06,63.69,
2076.13,62.53,
2078.20,72.30,
2080.27,69.12,
2082.33,46.21,
2084.40,51.49,
2086.47,98.23,
2088.53,153.40,
2090.59,156.17,
2092.65,100.54,
2094.72,58.75,
2096.77,63.72,
2098.83,70.13,
2100.89,63.43,
2102.95,68.52,
2105.00,100.07,
2107.05,112.84,
2109.11,89.66,
2111.16,67.41,
2113.21,58.56,
2115.26,53.76,
2117.31,64.03,
2119.35,91.34,
2121.40,107.11,
2123.44,92.32,
2125.49,79.24,
2127.53,72.47,
2129.57,64.98,
2131.61,78.62,
2133.65,132.92,
2135.69,168.79,
2137.73,115.88,
2139.76,26.64,
2141.80,3.85,
2143.83,48.89,
2145.86,101.17,
2147.89,120.22,
2149.92,120.69,
2151.95,120.12,
2153.98,116.30,
2156.01,104.80,
2158.03,81.03,
2160.06,62.49,
2162.08,76.62,
2164.11,107.88,
2166.13,128.28,
2168.15,128.67,
2170.17,112.45,
2172.19,93.80,
