,GP550R
RamanShit,Intensity,
1294.22,804.53,
1296.72,827.32,
1299.22,839.01,
1301.73,832.69,
1304.23,827.36,
1306.72,838.08,
1309.22,824.61,
1311.72,774.12,
1314.21,740.57,
1316.71,766.38,
1319.20,815.36,
1321.69,830.45,
1324.18,802.14,
1326.67,781.56,
1329.15,804.98,
1331.64,857.49,
1334.12,841.96,
1336.60,750.92,
1339.08,684.71,
1341.56,696.83,
1344.04,734.99,
1346.52,745.64,
1348.99,728.49,
1351.46,699.55,
1353.94,681.30,
1356.41,723.18,
1358.88,781.36,
1361.35,769.65,
1363.81,689.58,
1366.28,643.72,
1368.74,686.18,
1371.20,742.10,
1373.67,741.38,
1376.12,716.85,
1378.58,737.38,
1381.04,792.75,
1383.50,793.60,
1385.95,744.98,
1388.40,734.79,
1390.85,789.97,
1393.30,839.21,
1395.75,842.84,
1398.20,826.53,
1400.65,804.91,
1403.09,793.69,
1405.53,849.45,
1407.98,951.98,
1410.42,1006.67,
1412.86,991.26,
1415.29,994.48,
1417.73,1047.33,
1420.17,1093.50,
1422.60,1099.30,
1425.03,1078.25,
1427.46,1050.51,
1429.89,1054.46,
1432.32,1109.97,
1434.75,1149.01,
1437.17,1116.11,
1439.59,1063.41,
1442.02,1063.22,
1444.44,1100.72,
1446.86,1125.02,
1449.28,1102.04,
1451.70,1037.17,
1454.11,964.13,
1456.53,940.11,
1458.94,952.17,
1461.35,937.03,
1463.76,909.87,
1466.17,927.59,
1468.58,965.94,
1470.99,971.14,
1473.39,947.25,
1475.79,959.85,
1478.20,1008.33,
1480.60,1021.54,
1483.00,963.63,
1485.40,875.81,
1487.79,854.73,
1490.19,928.36,
1492.58,1006.57,
1494.97,1009.29,
1497.37,946.44,
1499.76,901.47,
1502.15,902.48,
1504.53,932.31,
1506.92,978.01,
1509.31,1005.05,
1511.69,990.65,
1514.07,976.89,
1516.45,1000.53,
1518.83,1032.52,
1521.21,1005.41,
1523.59,965.90,
1525.96,981.98,
1528.34,1032.46,
1530.71,1063.51,
1533.08,1062.48,
1535.45,1052.51,
1537.82,1062.82,
1540.19,1073.20,
1542.55,1062.33,
1544.92,1031.75,
1547.28,1028.39,
1549.65,1056.00,
1552.01,1065.00,
1554.37,1051.66,
1556.73,1047.09,
1559.08,1056.91,
1561.44,1070.98,
1563.79,1078.82,
1566.15,1053.87,
1568.50,990.76,
1570.85,964.16,
1573.20,1025.37,
1575.54,1114.57,
1577.89,1153.60,
1580.24,1143.20,
1582.58,1128.06,
1584.92,1106.46,
1587.26,1101.31,
1589.60,1130.54,
1591.94,1164.92,
1594.28,1161.89,
1596.62,1124.70,
1598.95,1106.39,
1601.29,1121.91,
1603.62,1137.89,
1605.95,1139.43,
1608.28,1121.16,
1610.61,1113.17,
1612.93,1110.42,
1615.26,1084.22,
1617.58,1055.15,
1619.91,1051.71,
1622.23,1061.13,
1624.55,1054.09,
1626.87,1051.33,
1629.18,1083.22,
1631.50,1104.76,
1633.82,1090.31,
1636.13,1092.88,
1638.44,1108.80,
1640.75,1086.09,
1643.07,1031.83,
1645.37,1014.33,
1647.68,1032.71,
1649.99,1033.63,
1652.29,1025.94,
1654.60,1044.86,
1656.90,1043.90,
1659.20,989.17,
1661.50,945.14,
